Latin;Latin short;Month;Place;Control
ácer;ácer;január;Békéscsaba;start
észkulusz;észk;február;Budapest;kezdés
ajilantusz;ail;március;Debrecen;plusz
álnusz;aln;április;Eger;még
ambrózia;amb;május;Győr;mínusz
artemízia;art;június;Kaposvár;hiba
aszterácejé;aszter;július;Kecskemét;index
betula;bet;augusztus;Miskolc;hely
kannabácejé;kanna;szeptember;Nyíregyháza;rögzítés
karpínusz;karp;október;Pécs;ellenőrzés
kasztanye;kaszt;november;Salgótarján;javítás
kenopodiácejé;kenó;december;Siófok;dátum
korilusz;kori;;Szeged;helyszín
kupresszácejé;kup;;Székesfehérvár;feldolgozás
taxácejé;tax;;Szekszárd;egyes
fabácejé;faba;;Szolnok;kettes
gledícia;fág;;Szombathely;hármas
robínia;frax;;Tatabánya;négyes
szofóra;jug;;Veszprém;ötös
amorfa;mór;;Zalaegerszeg;hatos
fágusz;mórusz;;;hetes
fraxínusz;olea;;;nyolcas
juglansz;pín;;;kilences
morácejé;plant;;;stop
oleácejé;plat;;;vége
pínácejé;poa;;;leállítás
plantágó;pop;;;
platánusz;kver;;;
poácejé;rum;;;
populusz;szal;;;
kverkusz;szamb;;;
rumex;tília;;;
szalix;úlm;;;
szambúkusz;úmb;;;
tília;úmbi;;;
úlmusz;úrt;;;
umbelliferé;úrti;;;
úrtikácejé;celt;;;
celtisz;cip;;;
ciperácejé;tifa;;;
tifa;xant;;;
xantium;iva;;;
iva;osztrija;;;
osztrija;;;;
ginkó;;;;
európea;;;;
egyéb;;;;
ismeretlen;;;;
